DOLocationID,avg,median,count,LocationID,Borough,Zone,service_zone
40,0.1953041648830618,0.1999999999999999,5349,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
54,0.1948585135341985,0.1999999999999999,1238,7,Queens,Astoria,Boro Zone
112,0.1937791698987813,0.1999999999999999,8406,8,Queens,Astoria Park,Boro Zone
223,0.1934319961698337,0.1999999999999999,7205,9,Queens,Auburndale,Boro Zone
181,0.1930783961790348,0.1999999999999999,12356,10,Queens,Baisley Park,Boro Zone
138,0.1920857997013778,0.1998958875585632,55452,11,Brooklyn,Bath Beach,Boro Zone
52,0.1914825425829851,0.1999999999999999,3431,12,Manhattan,Battery Park,Yellow Zone
33,0.1912863562318782,0.1999999999999999,10474,13,Manhattan,Battery Park City,Yellow Zone
7,0.1905656718566379,0.1999999999999999,12767,14,Brooklyn,Bay Ridge,Boro Zone
257,0.1903765436615251,0.1999119330691325,2331,15,Queens,Bay Terrace/Fort Totten,Boro Zone
265,0.1897212811079591,0.1998945147679325,4243,16,Queens,Bayside,Boro Zone
179,0.1891933897851042,0.1999999999999999,4797,17,Brooklyn,Bedford,Boro Zone
202,0.1888905608612635,0.1999999999999999,1702,18,Bronx,Bedford Park,Boro Zone
189,0.1887362041472177,0.1999999999999999,3674,20,Bronx,Belmont,Boro Zone
145,0.1877842889973574,0.1999999999999999,11021,21,Brooklyn,Bensonhurst East,Boro Zone
186,0.1877630065801699,0.1999999999999999,31122,22,Brooklyn,Bensonhurst West,Boro Zone
106,0.1872898754614803,0.1999999999999999,1883,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone
125,0.1869168860684044,0.1999999999999999,9363,24,Manhattan,Bloomingdale,Yellow Zone
43,0.1864912189833587,0.1999999999999999,21244,26,Brooklyn,Borough Park,Boro Zone
264,0.1864010625084028,0.1999999999999999,10997,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
80,0.1855281390732475,0.1999999999999999,5489,28,Queens,Briarwood/Jamaica Hills,Boro Zone
249,0.18544661670241,0.1999999999999999,31326,29,Brooklyn,Brighton Beach,Boro Zone
255,0.1851764922538251,0.1999999999999999,9741,30,Queens,Broad Channel,Boro Zone
113,0.1847461040520139,0.1999999999999999,23071,31,Bronx,Bronx Park,Boro Zone
146,0.1845618509320275,0.1999999999999999,4049,32,Bronx,Bronxdale,Boro Zone
239,0.1844688145441322,0.1999999999999999,57140,33,Brooklyn,Brooklyn Heights,Boro Zone
256,0.1844529832765439,0.1999999999999999,7354,34,Brooklyn,Brooklyn Navy Yard,Boro Zone
24,0.1842513817797685,0.1999999999999999,9942,35,Brooklyn,Brownsville,Boro Zone
142,0.1840906405341615,0.1999999999999999,46215,36,Brooklyn,Bushwick North,Boro Zone
151,0.1837822142436685,0.1999999999999999,23415,37,Brooklyn,Bushwick South,Boro Zone
100,0.1835659514898572,0.1999348746336698,14144,38,Queens,Cambria Heights,Boro Zone
90,0.1835049154331859,0.1999999999999999,29260,39,Brooklyn,Canarsie,Boro Zone
163,0.1833228891265768,0.1999348746336698,30577,40,Brooklyn,Carroll Gardens,Boro Zone
238,0.1830543263761725,0.1999999999999999,52248,41,Manhattan,Central Harlem,Boro Zone
49,0.1830322528962265,0.1999999999999999,6097,42,Manhattan,Central Harlem North,Boro Zone
25,0.1829705400087681,0.1999999999999999,6737,43,Manhattan,Central Park,Yellow Zone
166,0.1826704589872819,0.1999999999999999,21734,44,Staten Island,Charleston/Tottenville,Boro Zone
114,0.1825824829761669,0.1999999999999999,15577,45,Manhattan,Chinatown,Yellow Zone
158,0.1823699079705703,0.1999999999999999,18065,46,Bronx,City Island,Boro Zone
211,0.1822375261789749,0.1999999999999999,10767,47,Bronx,Claremont/Bathgate,Boro Zone
237,0.1821685594433133,0.1999999999999999,52433,48,Manhattan,Clinton East,Yellow Zone
